sentence_id,sentence,tokens,num_tokens,labels (space-separated),num_labels
sent_0001,சேலம் மற்றும் இளம்பிள்ளை வீர சைவம் ஜங்கம குலம் சார்பில் வாழ்த்துக்கள்.இந்த திரை காவியம் வெள்ளி விழா காணா வேண்டும்.,சலம மறறம இளமபளள வர சவம ஜஙகம கலம சரபல வழததககளஇநத தர கவயம வளள வழ கண வணடம,15,ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta,15
sent_0002,Anna vera leval. I l u anna,Anna vera leval I l u anna,7,ta ta en en en en ta,7
sent_0003,i guess d count s stuck,i guess d count s stuck,6,en en na en na en,6
sent_0004,"Wow, vraiment ça donne envie d'en savoir plus sur le cinéma Bolywoodien !",Wow vraiment ça donne envie den savoir plus sur le cinéma Bolywoodien,12,en na na na na na na na na na na na,12
sent_0005,Love u so much Thala umaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,Love u so much Thala umaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,6,en en en en ta ta,6
sent_0006,Simbu anna carrier la periya break ah iruka pora padam ithu.,Simbu anna carrier la periya break ah iruka pora padam ithu,11,ta ta en ta ta en ta ta ta ta ta,11
sent_0007,Chiyaan vikram mass trailer in Kadaram kondan,Chiyaan vikram mass trailer in Kadaram kondan,7,ta ta ta en en ta ta,7
sent_0008,01:16 ஏகன்ல அமுல் பேபியா இருந்த நவ்தீப்பா இது,0116 ஏகனல அமல பபய இரநத நவதபப இத,7,na ta ta ta ta ta ta,7
sent_0009,என்னுடைய நீண்ட நாள் கனவு இன்றைய சூழ்நிலையில் நடக்கும் நாடக காதலை தோலுரிக்கும் படம் படைத்தற்க்கு மிக்க நன்றி.,எனனடய நணட நள கனவ இனறய சழநலயல நடககம நடக கதல தலரககம படம படததறகக மகக நனற,14,ta ta ta ta ta ta ta ta ta ta ta ta ta ta,14
sent_0010,Who else feels like international movie .... Vow,Who else feels like international movie Vow,7,en en en en en en en,7
sent_0011,Gonna rock .by Kerala suriya fan,Gonna rock by Kerala suriya fan,6,en en en na ta en,6
sent_0012,ஐயயோ நீ நல்லாயிருக்க - semma cute. idha repeat modela pathuketta iruken,ஐயய ந நலலயரகக semma cute idha repeat modela pathuketta iruken,10,ta ta ta ta en ta en ta ta ta,10
sent_0013,தீரன் சின்னமலை கொங்கு வெள்ளாளர் கவுண்டர்கள் சார்பாக படம் வெற்றி அடைய வாழ்த்துக்கள் Finally someone has guts to take true story happening around,தரன சனனமல கஙக வளளளர கவணடரகள சரபக படம வறற அடய வழததககள Finally someone has guts to take true story happening around,20,ta ta ta ta ta ta ta ta ta ta en en en en en en en en en en,20
sent_0014,குற்றமுள்ள நெஞ்சு குறுகுறுக்கும் அதுபோல எவன் இந்த படத்தை எதிர்க்கிறா அவனெல்லாம் குற்றவாளிதான்,கறறமளள நஞச கறகறககம அதபல எவன இநத படதத எதரககற அவனலலம கறறவளதன,10,ta ta ta ta ta ta ta ta ta ta,10
